Date and Time of the Detection,Detected Object
06-10-2023 21:58,person
07-10-2023 21:58,person
08-10-2023 21:58,person
09-10-2023 21:58,person
10-10-2023 21:58,person
11-10-2023 21:58,person
12-10-2023 21:58,person
13-10-2023 21:58,person
14-10-2023 21:58,person
15-10-2023 21:58,person
16-10-2023 21:58,person
17-10-2023 21:58,person
18-10-2023 21:58,person
19-10-2023 21:58,person
20-10-2023 21:58,person
21-10-2023 21:58,person
22-10-2023 21:58,person
23-10-2023 21:58,person
24-10-2023 21:58,person
25-10-2023 21:58,person
26-10-2023 21:58,person
27-10-2023 21:58,person
28-10-2023 21:58,person
29-10-2023 21:58,person
30-10-2023 21:58,person
31-10-2023 21:58,person
01-11-2023 21:58,person
02-11-2023 21:58,person
03-11-2023 21:58,person
04-11-2023 21:58,
07-10-2023 12:52,person
2023-10-09 12:24:23,person
2023-10-09 14:31:46,person
2023-10-09 14:32:15,person
2023-10-09 14:51:42,person
2023-10-09 14:52:14,person
2023-10-09 15:36:54,car
2023-10-09 15:40:44,car
2023-10-09 15:40:49,car
2023-10-09 15:40:54,car
